Definitions of codes used in the 2017 HAR formset,,
,,
code,label,definition
7082,Total Available Beds,"The number of acute care beds that are immediately available for use or could be brought online within a short period of time.  Available beds should not include:  labor rooms, bassinets, post-anesthesia beds, post-operative beds, or other non-routine beds."
,,
,Provision for Bad Debts,"The 2017 HAR Formset reflects the changes to accounting for Bad Debt and it is now classified as a Contractual Adjustment, not an Operating Expense. 

The provision for actual or expected doubtful accounts resulting from the extension of credit. This includes the total dollar amount charged for health care services that were provided for which there was an expectation of payment. Do not include charity care or self pay discounts in this category; only include the portion of the charge for which there was an expectation of payment. 

In determining whether to classify charity care as bad debt expense, the facility must consider the following points:
A. The facility must presume that the patient is able and willing to pay until and unless the facility has reason to consider this a charity care case under its charity care policy and the facility classifies this as a charity care case; and
B. The facility may include as bad debt expense unpaid deductibles, co-insurance, co-payments, and charges for non-covered services and any other unpaid patient responsibilities.
"
0216,,
0739,,
8100,,
,,
0762,Charity Care Adjustments,"The total dollar amount that would have been charged by a facility for rendering health care services for which the facility did not expect payment. Charity care results from a provider’s policy to provide health care services to individuals who meet the providers established criteria of inability to pay.

Self Pay discounts should be reported under (#0762) Charity Care Adjustments if the discount is specifically included in your hospital’s Charity Care policy. If a self pay discount is included in (#0762) Charity Care, do not report the amount in (#7410) Self Pay Discounts. 

"
"7573
7574",,"Please break out Charity Care amounts from insured (7571) and uninsured patients (7572). For the uninsured patients, also breakout the amounts where the hospital has forgiven the entire bill (7573) from where the hospital has applied a partial discount (7574) to the bill. If an uninsured patient is eligible for a self pay discount and full charity care under the hospital’s charity care policy, record the entire charge in (7573) Full Charity Care. If an uninsured patient is eligible for a self pay discount and a partial charity care discount under the hospital’s charity care policy, record the total amount of the self pay discount and partial charity care discount in (7574) Partial Charity Care. "
,,Charity care is a required field in the HAR and cannot be reported in 8100 Bad Debt Expense.
,,
0630,Total Administrative Expenses,The sum of the following expenses:
,,"·        Admitting, patient billing, and collections:  All of the costs related to inpatient and outpatient admission or registration, whether scheduled or non-scheduled; the scheduling of admission times; insurance verification, including coordination of benefits; preparing and submitting claim forms; and cashiering, credit, and collection functions."
,,"·        Accounting and financial reporting:  All costs related to fiscal services, such as general accounting, budgeting, cost accounting, payroll accounting, accounts payable, and plant, equipment, and inventory accounting."
,,"·        Quality assurance and utilization management program or activity:  All costs associated with any activities or programs established for the purpose of quality of care evaluation and utilization management. Activities include quality assurance, development of practice protocols, utilization review, peer review, provider credentialing, and all other medical care evaluation activities."
,,"·        Community and wellness education:  All the costs related to wellness programs, health promotion, community education classes, support groups, and other outreach programs and health screening included in a specific community or wellness education cost center or reclassified from other cost centers.  Community and wellness education expenses does not include patient education programs."
,,"·        Promotion and marketing:  All costs related to marketing, promotion, and advertising activities such as billboards, yellow page listing, cost of materials, advertising agency fees, marketing representative wages and fringe benefits, travel, and other expenses allocated to the promotion and marketing activities.  Promotion and marketing expenses does not include costs charged to other departments within the hospital."
,,"·        Taxes, fees, and assessments:  The direct payments made to government agencies including property taxes; medical care surcharge; MinnesotaCare tax; unrelated business income taxes; any assessments imposed by local, state, or federal jurisdiction; all fees associated with the facility's new or renewal certification with state or federal regulatory agencies, including fees associated with joint Commission on Accreditation of Healthcare Organizations (JCAHO) accreditation; and any fees or fines paid to government agencies for examinations related to regulation."
,,"·        Malpractice:  All costs of malpractice including malpractice insurance, self-insurance expenses including program administration, and malpractice losses not covered by insurance, including deductibles and malpractice attorney fees."
,,"·        Other administrative expenses:  All costs for the overall operation of the facility associated with management, administration, and legal staff functions, including the costs of governing boards, executive wages and benefits, auxiliary and other volunteer groups, purchasing, telecommunications, printing and duplicating, receiving and storing, and personnel management.  Other administrative expenses includes all wages and benefits, donations and support, direct and in-kind, for the purpose of lobbying and influencing policy makers and legislators, including membership dues, and all expenses associated with public policy development, such as response to rulemaking and interaction with government agency personnel including attorney fees for reviewing and analyzing governmental policies.  Other administrative expenses does not include the costs of public relations included in promotion and marketing expenses, the costs of legal staff already allocated to other functions, or the costs of medical records, social services, and nursing administration."
,,
0637,Total Cost of Regulatory and Compliance Reporting,"All costs of the facility associated with, or directly incurred in the preparation and submission of financial, statistical, or other utilization, satisfaction, or quality reports, or summary plan descriptions that are required by federal, state, and local agencies.  This would include Federal Ambulatory Surgery Association (FASA) and Accreditation Association for Ambulatory Health Care, Inc. (AAAHC). The portion of Account 0637 that is administrative expenses is to be reported in Account 0630 and included in the total of Account 0637."
,,
0650,Total Management Information Systems Expenses,"All costs related to maintaining and operating the data processing system of the facility, including such functions as admissions, medical records, patient charges, decision support systems, and fiscal services.  The portion of Account 0650 that is administrative expenses is to be reported in Account 0630 and included in the total of Account 0650."
,,
0655,"Total Plant, Equipment and Occupancy Expenses","All costs related to plant, equipment, and occupancy expenses, including maintenance, repairs, and engineering expenses, building rent and leases, equipment rent and leases, and utilities.  Plant, equipment, and occupancy expenses include interest expenses and depreciation. .  The portion of Account 0655 that is administrative expenses is to be reported in Account 0630 and included in the total of Account 0655."
,,
7410,Self Pay Discounts,"This category includes discounts for persons who qualify for partial-bill or sliding scale discounts under a provider’s policy that provides discounts to the uninsured. This includes discounts applied to those that qualify for a discount under the Fair Price for the Uninsured agreement with the Minnesota Attorney General’s office. Do not include prompt pay discounts or staff courtesy discounts; these should be recorded under Other Payers Adjustments and Uncollectibles (#0751).
Self Pay discounts should be reported under (#0762) Charity Care Adjustments if the discount is specifically included in your hospital’s Charity Care policy. If a self pay discount is included in (#0762) Charity Care, do not report the amount in (#7410) Self Pay Discounts.
"
,,
