hccis_id,rpt_year,code,value
1,2017,7655,<null>
1,2017,7656,<null>
1,2017,7657,<null>
1,2017,7658,<null>
1,2017,7659,<null>
1,2017,7660,<null>
1,2017,7661,<null>
1,2017,7662,<null>
1,2017,7663,<null>
1,2017,7664,<null>
1,2017,7665,<null>
1,2017,7666,<null>
1,2017,7667,<null>
1,2017,7668,<null>
1,2017,7669,<null>
1,2017,7670,<null>
1,2017,7671,<null>
1,2017,7672,<null>
1,2017,7673,<null>
1,2017,7674,<null>
1,2017,7675,<null>
1,2017,7676,<null>
1,2017,7677,<null>
1,2017,7678,<null>
1,2017,7679,<null>
1,2017,7680,<null>
1,2017,7681,<null>
1,2017,7682,<null>
1,2017,7683,<null>
1,2017,7684,<null>
1,2017,7685,<null>
1,2017,7686,<null>
1,2017,7687,<null>
1,2017,7688,<null>
1,2017,7689,369465.00
1,2017,7690,185.00
1,2017,7691,57.00
1,2017,7692,<null>
1,2017,7693,1227120.00
1,2017,7694,<null>
1,2017,7704,<null>
1,2017,7705,<null>
1,2017,7996,-116082.00
1,2017,7997,<null>
1,2017,7998,<null>
1,2017,7999,<null>
1,2017,8000,<null>
1,2017,8001,<null>
1,2017,8004,<null>
1,2017,8005,<null>
1,2017,8006,<null>
1,2017,8007,<null>
1,2017,8009,<null>
1,2017,8010,<null>
1,2017,8011,<null>
1,2017,8013,<null>
1,2017,8014,-71.00
1,2017,8015,<null>
1,2017,8016,<null>
1,2017,8017,<null>
1,2017,8018,<null>
1,2017,8019,<null>
1,2017,8022,<null>
1,2017,8023,<null>
1,2017,8024,<null>
1,2017,8025,<null>
1,2017,8027,<null>
1,2017,8028,<null>
1,2017,8029,<null>
1,2017,8031,<null>
1,2017,8032,-7.00
1,2017,8033,<null>
1,2017,8034,<null>
1,2017,8035,<null>
1,2017,8036,<null>
1,2017,8037,<null>
1,2017,8040,<null>
1,2017,8041,<null>
1,2017,8042,<null>
1,2017,8043,<null>
1,2017,8045,<null>
1,2017,8046,<null>
1,2017,8047,<null>
1,2017,8049,<null>
1,2017,8050,<null>
1,2017,8051,<null>
1,2017,8052,<null>
1,2017,8053,<null>
1,2017,8054,<null>
1,2017,8055,<null>
1,2017,8056,<null>
1,2017,8057,<null>
1,2017,8058,<null>
1,2017,8059,<null>
1,2017,8060,<null>
1,2017,8061,<null>
1,2017,8062,9110734.00
1,2017,8063,-3074065.00
1,2017,8064,551645.00
1,2017,8065,435563.00
1,2017,8066,1111038.00
1,2017,8067,284.00
1,2017,8068,213.00
1,2017,8069,600.00
1,2017,8070,84.00
1,2017,8071,77.00
1,2017,8072,118.00
1,2017,8073,1.00
1,2017,8074,2.00
1,2017,8075,2.00
1,2017,8076,3.00
1,2017,8077,2.00
1,2017,8078,2.00
1,2017,8079,2.00
1,2017,8080,2.00
1,2017,8081,2.00
1,2017,8082,2.00
1,2017,8083,2.00
1,2017,8084,2.00
1,2017,8100,-30169.00
1,2017,8101,-28853.00
1,2017,8102,-1316.00
1,2017,2047,0.53
1,2017,2048,<null>
1,2017,2050,4.07
1,2017,2051,6.00
1,2017,2052,<null>
1,2017,2053,<null>
1,2017,2054,<null>
1,2017,2056,<null>
1,2017,2057,<null>
1,2017,2058,<null>
1,2017,2060,25.00
1,2017,2061,10.00
1,2017,2062,1.00
1,2017,2063,<null>
1,2017,2064,<null>
1,2017,2066,<null>
1,2017,2067,<null>
1,2017,2068,<null>
1,2017,2070,39.00
1,2017,2071,0.60
1,2017,2072,0.30
1,2017,2073,<null>
1,2017,2074,<null>
1,2017,2076,<null>
1,2017,2077,<null>
1,2017,2078,<null>
1,2017,2080,1.00
1,2017,2104,<null>
1,2017,2114,<null>
1,2017,2121,<null>
1,2017,2122,<null>
1,2017,2123,<null>
1,2017,2125,192593.00
1,2017,2128,765558.00
1,2017,2131,<null>
1,2017,2132,<null>
1,2017,2133,<null>
1,2017,2135,3.10
1,2017,2138,20.24
1,2017,2141,0.11
1,2017,2142,0.30
1,2017,2143,1.30
1,2017,2145,<null>
1,2017,2146,1.00
1,2017,2147,0.07
1,2017,2148,0.50
1,2017,2151,<null>
1,2017,2152,<null>
1,2017,2153,<null>
1,2017,2155,3.00
1,2017,2156,<null>
1,2017,2157,14.00
1,2017,2158,<null>
1,2017,2161,<null>
1,2017,2162,<null>
1,2017,2163,<null>
1,2017,2165,4.00
1,2017,2166,<null>
1,2017,2167,23.00
1,2017,2168,<null>
1,2017,2171,<null>
1,2017,2172,<null>
1,2017,2173,<null>
1,2017,2175,<null>
1,2017,2176,<null>
1,2017,2177,0.10
1,2017,2178,139639.00
1,2017,2182,2.00
1,2017,2185,<null>
1,2017,2188,2.18
1,2017,2192,1.00
1,2017,2194,<null>
1,2017,2198,<null>
1,2017,4011,<null>
1,2017,4014,2.00
1,2017,4017,<null>
1,2017,4020,213.00
1,2017,4022,5.00
1,2017,4025,155.00
1,2017,4026,5.00
1,2017,4030,213.00
1,2017,4033,357.00
1,2017,4034,357.00
1,2017,4035,<null>
1,2017,4037,4.00
1,2017,4041,<null>
1,2017,4044,<null>
1,2017,4060,1030.00
1,2017,4304,<null>
1,2017,4307,1.00
1,2017,4309,<null>
1,2017,4320,77.00
1,2017,4322,24.00
1,2017,4323,12.00
1,2017,4324,36.00
1,2017,4326,<null>
1,2017,4327,1.00
1,2017,4329,<null>
1,2017,4331,<null>
1,2017,4333,6.00
1,2017,4334,<null>
1,2017,4335,26.00
1,2017,4336,<null>
1,2017,4337,4.00
1,2017,4339,36.00
1,2017,4340,77.00
1,2017,4341,51.00
1,2017,4342,1.00
1,2017,4344,1.00
1,2017,4351,2.77
1,2017,4352,1.00
1,2017,4353,<null>
1,2017,4355,<null>
1,2017,4356,<null>
1,2017,4357,<null>
1,2017,4360,372.00
1,2017,4363,<null>
1,2017,4364,1.00
1,2017,4365,3.00
1,2017,4366,<null>
1,2017,4367,<null>
1,2017,4369,4.00
1,2017,4370,61.00
1,2017,4373,6.00
1,2017,4376,<null>
1,2017,4379,8.00
1,2017,4380,180.00
1,2017,4383,17.00
1,2017,4386,<null>
1,2017,4389,10.00
1,2017,4501,11801.00
1,2017,4502,10953.00
1,2017,4503,661.00
1,2017,4504,20.00
1,2017,4505,187.00
1,2017,4506,589.00
1,2017,4508,4325.00
1,2017,4520,0.98
1,2017,4530,16.00
1,2017,4531,1.00
1,2017,4540,0.01
1,2017,4550,<null>
1,2017,5101,<null>
1,2017,5102,<null>
1,2017,5200,<null>
1,2017,5501,291493.00
1,2017,5502,157531.00
1,2017,5503,-98353.00
1,2017,5504,-42366.00
1,2017,5506,20600.00
1,2017,5507,-8760.00
1,2017,5512,-965.00
1,2017,6010,2.00
1,2017,6020,2.00
1,2017,6030,2.00
1,2017,6034,<null>
1,2017,6040,2.00
1,2017,6051,1.00
1,2017,6052,30.00
1,2017,6053,374.00
1,2017,6054,404.00
1,2017,6070,2.00
1,2017,6080,1.00
1,2017,6090,2.00
1,2017,6092,<null>
1,2017,7271,9.00
1,2017,7274,3.00
1,2017,7282,3.00
1,2017,7285,<null>
1,2017,7310,31909.00
1,2017,7311,7.00
1,2017,7313,<null>
1,2017,7314,<null>
1,2017,7315,<null>
1,2017,7316,<null>
1,2017,7317,<null>
1,2017,7318,<null>
1,2017,7320,<null>
1,2017,7321,<null>
1,2017,7322,<null>
1,2017,7323,<null>
1,2017,7324,<null>
1,2017,7325,<null>
1,2017,7410,-38333.00
1,2017,7411,<null>
1,2017,7412,16.00
1,2017,7413,1.00
1,2017,7414,<null>
1,2017,7415,<null>
1,2017,7416,<null>
1,2017,7417,<null>
1,2017,7418,<null>
1,2017,7419,<null>
1,2017,7420,<null>
1,2017,7421,<null>
1,2017,7423,7.00
1,2017,7424,<null>
1,2017,7425,37.00
1,2017,7426,64.00
1,2017,7427,<null>
1,2017,7428,<null>
1,2017,7429,34576.00
1,2017,7430,<null>
1,2017,7431,<null>
1,2017,7432,90282.00
1,2017,7433,55272.00
1,2017,7434,<null>
1,2017,7435,82840.00
1,2017,7436,368335.00
1,2017,7438,<null>
1,2017,7439,135246.00
1,2017,7440,7713.00
1,2017,7441,812119.00
1,2017,7461,<null>
1,2017,7462,<null>
1,2017,7463,20.00
1,2017,7464,<null>
1,2017,7465,<null>
1,2017,7466,<null>
1,2017,7467,<null>
1,2017,7468,<null>
1,2017,7469,<null>
1,2017,7470,20.00
1,2017,7471,<null>
1,2017,7472,<null>
1,2017,7473,<null>
1,2017,7474,<null>
1,2017,7475,<null>
1,2017,7476,<null>
1,2017,7477,<null>
1,2017,7478,<null>
1,2017,7479,20.00
1,2017,7480,<null>
1,2017,7481,<null>
1,2017,7482,<null>
1,2017,7483,<null>
1,2017,7484,<null>
1,2017,7485,<null>
1,2017,7486,<null>
1,2017,7487,20.00
1,2017,7488,<null>
1,2017,7489,<null>
1,2017,7490,<null>
1,2017,7491,<null>
1,2017,7492,<null>
1,2017,7493,<null>
1,2017,7494,<null>
1,2017,7495,<null>
1,2017,7496,<null>
1,2017,7497,<null>
1,2017,7498,1.00
1,2017,7499,1.00
1,2017,7500,<null>
1,2017,7502,<null>
1,2017,7503,<null>
1,2017,7504,<null>
1,2017,7505,<null>
1,2017,7506,21.00
1,2017,7507,<null>
1,2017,7508,185.00
1,2017,7509,2.00
1,2017,7510,20.00
1,2017,7511,43.00
1,2017,7512,<null>
1,2017,7513,13.00
1,2017,7514,671.00
1,2017,7515,<null>
1,2017,7516,<null>
1,2017,7517,<null>
1,2017,7518,<null>
1,2017,7519,<null>
1,2017,7520,<null>
1,2017,7521,<null>
1,2017,7522,<null>
1,2017,7523,<null>
1,2017,7524,<null>
1,2017,7525,<null>
1,2017,7526,<null>
1,2017,7527,<null>
1,2017,7528,<null>
1,2017,7529,9.00
1,2017,7530,<null>
1,2017,7531,57.00
1,2017,7532,1.00
1,2017,7533,3.00
1,2017,7534,9.00
1,2017,7535,<null>
1,2017,7536,5.00
1,2017,7537,125.00
1,2017,7538,<null>
1,2017,7539,<null>
1,2017,7540,<null>
1,2017,7541,<null>
1,2017,7542,<null>
1,2017,7543,<null>
1,2017,7544,<null>
1,2017,7545,<null>
1,2017,7546,<null>
1,2017,7548,<null>
1,2017,7549,<null>
1,2017,7550,<null>
1,2017,7552,44030.00
1,2017,7553,<null>
1,2017,7554,369465.00
1,2017,7555,4000.00
1,2017,7556,35050.00
1,2017,7557,79100.00
1,2017,7558,<null>
1,2017,7559,20000.00
1,2017,7560,<null>
1,2017,7561,<null>
1,2017,7562,<null>
1,2017,7563,<null>
1,2017,7565,<null>
1,2017,7566,<null>
1,2017,7567,155790.00
1,2017,7568,93473.00
1,2017,6093,<null>
1,2017,6094,<null>
1,2017,6100,2.00
1,2017,6122,2.00
1,2017,6123,127.00
1,2017,6124,129.00
1,2017,6130,2.00
1,2017,6131,1.00
1,2017,6140,2.00
1,2017,6141,<null>
1,2017,6144,<null>
1,2017,6145,<null>
1,2017,6150,2.00
1,2017,6151,<null>
1,2017,6154,<null>
1,2017,6155,<null>
1,2017,6160,2.00
1,2017,6161,<null>
1,2017,6164,<null>
1,2017,6165,<null>
1,2017,6170,2.00
1,2017,6180,2.00
1,2017,6190,2.00
1,2017,6200,2.00
1,2017,6202,<null>
1,2017,6203,<null>
1,2017,6210,1.00
1,2017,6240,2.00
1,2017,6250,1.00
1,2017,6254,<null>
1,2017,6256,1.00
1,2017,6258,187.00
1,2017,6260,2.00
1,2017,6264,<null>
1,2017,6270,2.00
1,2017,6271,<null>
1,2017,6272,<null>
1,2017,6273,<null>
1,2017,6274,<null>
1,2017,6275,<null>
1,2017,6280,2.00
1,2017,6290,2.00
1,2017,6300,3.00
1,2017,6310,3.00
1,2017,6320,3.00
1,2017,6330,1.00
1,2017,6334,41.00
1,2017,6340,1.00
1,2017,6350,3.00
1,2017,6351,429.00
1,2017,6360,1.00
1,2017,7000,1.00
1,2017,7044,39.00
1,2017,7047,0.00
1,2017,7049,0.00
1,2017,7050,<null>
1,2017,7051,<null>
1,2017,7052,<null>
1,2017,7053,<null>
1,2017,7054,47.00
1,2017,7055,43850.00
1,2017,7056,47.00
1,2017,7057,43850.00
1,2017,7058,7.00
1,2017,7059,0.00
1,2017,7061,106042.00
1,2017,7062,57308.00
1,2017,7063,7494.00
1,2017,7064,-35780.00
1,2017,7065,-15412.00
1,2017,7066,-3187.00
1,2017,7068,<null>
1,2017,7069,<null>
1,2017,7070,<null>
1,2017,7071,<null>
1,2017,7072,<null>
1,2017,7073,<null>
1,2017,7075,<null>
1,2017,7076,<null>
1,2017,7077,<null>
1,2017,7078,<null>
1,2017,7079,<null>
1,2017,7080,<null>
1,2017,7082,20.00
1,2017,7085,<null>
1,2017,7086,<null>
1,2017,7087,430000.00
1,2017,7088,34576.00
1,2017,7089,7602161.00
1,2017,7090,8713199.00
1,2017,7091,<null>
1,2017,7092,<null>
1,2017,7094,291493.00
1,2017,7095,106042.00
1,2017,7096,<null>
1,2017,7097,397535.00
1,2017,7098,-1266382.00
1,2017,7099,-57778.00
1,2017,7100,-261843.00
1,2017,7101,-11947.00
1,2017,7102,-41937.00
1,2017,7103,-1913.00
1,2017,7104,4708867.00
1,2017,7105,214839.00
1,2017,7106,615757.00
1,2017,7107,28094.00
1,2017,7108,1875897.00
1,2017,7109,7760.00
1,2017,7110,6837302.00
1,2017,7111,389775.00
1,2017,7112,<null>
1,2017,7113,304015.00
1,2017,7117,7760.00
1,2017,7118,283733.00
1,2017,7119,<null>
1,2017,7120,106042.00
1,2017,7121,-1403.00
1,2017,7122,-510.00
1,2017,7123,-351.00
1,2017,7124,<null>
1,2017,7125,-2939932.00
1,2017,7126,-134133.00
1,2017,7127,288940.00
1,2017,7128,8713199.00
1,2017,7130,<null>
1,2017,7131,<null>
1,2017,7132,20000.00
1,2017,7133,435563.00
1,2017,7134,13000.00
1,2017,7135,675475.00
1,2017,7136,-150609.00
1,2017,7138,<null>
1,2017,7139,-513301.00
1,2017,7141,<null>
1,2017,7142,287390.00
1,2017,7144,<null>
1,2017,7145,949404.00
1,2017,7147,<null>
1,2017,7148,<null>
1,2017,7154,13.00
1,2017,7155,387.00
1,2017,7156,357.00
1,2017,7157,4.00
1,2017,7158,26.00
1,2017,7159,5.00
1,2017,7161,<null>
1,2017,7162,25.00
1,2017,7163,12.00
1,2017,7164,12.00
1,2017,7166,<null>
1,2017,7167,1.00
1,2017,7168,37855.00
1,2017,7175,5.00
1,2017,7176,118.00
1,2017,7177,36.00
1,2017,7178,1.00
1,2017,7179,4.00
1,2017,7180,41.00
1,2017,7181,1.00
1,2017,7183,<null>
1,2017,7184,10.00
1,2017,7185,5.00
1,2017,7186,5.00
1,2017,7188,<null>
1,2017,7189,1.00
1,2017,7190,1.00
1,2017,7191,<null>
1,2017,7192,<null>
1,2017,7193,<null>
1,2017,7194,<null>
1,2017,7195,1.00
1,2017,7196,<null>
1,2017,7197,1.00
1,2017,7199,<null>
1,2017,7200,<null>
1,2017,7201,<null>
1,2017,7202,<null>
1,2017,7203,<null>
1,2017,7204,<null>
1,2017,7205,2.00
1,2017,7206,3.00
1,2017,7207,3.00
1,2017,7208,<null>
1,2017,7209,<null>
1,2017,7210,2.00
1,2017,7218,<null>
1,2017,7219,<null>
1,2017,7220,<null>
1,2017,7221,<null>
1,2017,7222,<null>
1,2017,7223,<null>
1,2017,7225,8424259.00
1,2017,7234,1875897.00
1,2017,7235,6548362.00
1,2017,7236,44030.00
1,2017,7238,79100.00
1,2017,7240,35050.00
1,2017,7242,<null>
1,2017,7243,288940.00
1,2017,7244,600.00
1,2017,7245,671.00
1,2017,7248,<null>
1,2017,7249,<null>
1,2017,7250,5567557.00
1,2017,7251,600.00
1,2017,7252,21.00
1,2017,7253,1236794.00
1,2017,7255,43.00
1,2017,7256,<null>
1,2017,7258,20.00
1,2017,7259,1953576.00
1,2017,7260,-1597950.00
1,2017,7261,125.00
1,2017,7263,-663910.00
1,2017,7264,<null>
1,2017,7266,<null>
1,2017,623,87502.00
1,2017,625,50088.00
1,2017,700,-538716.00
1,2017,711,<null>
1,2017,714,<null>
1,2017,715,1800.00
1,2017,717,660675.00
1,2017,721,<null>
1,2017,724,<null>
1,2017,727,4000.00
1,2017,730,1111038.00
1,2017,738,-3043896.00
1,2017,739,-30169.00
1,2017,740,9110734.00
1,2017,741,-1324160.00
1,2017,742,-273790.00
1,2017,743,-513301.00
1,2017,744,-150609.00
1,2017,750,6036669.00
1,2017,751,-204531.00
1,2017,752,-635567.00
1,2017,754,-2438498.00
1,2017,760,-3074065.00
1,2017,762,-43850.00
1,2017,770,199910.00
1,2017,772,17310.00
1,2017,773,182600.00
1,2017,775,<null>
1,2017,776,<null>
1,2017,777,<null>
1,2017,778,<null>
1,2017,780,6236579.00
1,2017,790,6775295.00
1,2017,800,-536570.00
1,2017,801,9247.00
1,2017,806,<null>
1,2017,811,<null>
1,2017,813,<null>
1,2017,200,-510766.00
1,2017,201,9110734.00
1,2017,202,755792.00
1,2017,203,231363.00
