HCCIS ID,NPI,Hospital Name,City,Address,Multiple unit,P.O. Box,County,State,Zip,Zip4,Phone,Fax,Administrator First Name,Administrator Last Name,Administrator Title,Administrator e-mail,CFO Name,Contact Person First Name,Contact Person Last Name,Contact Person Title,Contact Person Phone,Contact Person Extension,Contact Person Fax,Contact Person e-mail,Contact Address,Contact Multiple Unit,City,State,Zip Code,Zip 4 ,County,Hospital Website Address,System Affiliation,Affiliation Type,CAH,Emergency Department Physician Director,Courtesy Contact Person First Name,Courtesy Contact Person Last Name,Courtesy Contact Person Title,Courtesy Contact Person Phone,Courtesy Contact Person Extension,Courtesy Contact Person Fax,Courtesy Contact Person e-mail,Courtesy Contact Address,Courtesy Contact Multiple Unit,Courtesy Contact City,Courtesy Contact State,Courtesy Contact Zip5,Coutesy Contact Zip4,Courtesy Contact 2 Person First Name,Courtesy Contact 2 Person Last Name,Courtesy Contact 2 Person Title,Courtesy Contact 2 Person Phone,Courtesy Contact 2 Person Extension,Courtesy Contact 2 Person Fax,Courtesy Contact 2 Person e-mail,Courtesy Contact 2 Address,Courtesy Contact 2 Multiple Unit,Courtesy Contact 2 City,Courtesy Contact 2 State,Courtesy Contact 2 Zip5,Coutesy Contact Zip4,Capital Expenditure Person First Name,Capital Expenditure Person Last Name,Capital Expenditure Person Title,Capital Expenditure Person Phone,Capital Expenditure Person Extension,Capital Expenditure Person Fax,Capital Expenditure Person e-mail,Capital Expenditure Address,Capital Expenditure Multiple Unit,Capital Expenditure City,Capital Expenditure State,Capital Expenditure Zip5,Coutesy Contact Zip4
3,1306836598,Essentia Health Ada,ADA,201 9th Street West  ,,,NORMAN,MN,56510,1243,2187845000,2187843855,Ryan,Hill,Administrator,ryan.hill@essentiahealth.org,N/A,Shawna,Enright,Mgr - Controller,2187845255,NULL,2187843855,shawna.enright@essentiahealth.org,"201 9TH ST W, , ",,Ada,MN,56510,1243,,www.essentiahealth.org,Essentia Health,Owned,1,Dr. Darrin Swanson,Ryan,Hill,CFO,2188470852,NULL,2188477674,Ryan.hill@essentiahealth.org,1027 Washington Ave,,Detroit Lakes,  ,,,,,,,,,,,,,,,,Shawna,Enright,Mgr - Controller,2187845255,NULL,2187843855,shawna.enright@essentiahealth.org,"201 9TH ST W, , ",,Ada,MN,56510,1243
4,1942277835,Riverwood HealthCare Center,AITKIN,200 Bunker Hill Drive      ,,,AITKIN,MN,56431,1697,2189272121,2189275516,Chad,Cooper,CEO,ccooper@riverwoodhealthcare.org,Casey Johnson,Casey,Johnson,CFO,2189275161,NULL,2189275516,cjohnson2@riverwoodhealthcare.org,"200 Bunker Hill Drive, ",,Aitkin,MN,56431,,,www.riverwoodhealthcare.org,No Affiliation,,1,"James Harris, MD",Judy,Turner,Finance Manager,2189278273,NULL,2189275516,jturner@riverwoodhealthcare.org,"200 Bunker Hill Drive, , , , , ",,Aitkin,MN,56431,1697,Susan,Boyd,Finance Assistant,2189275197,NULL,2189275516,sboyd@sisunet.org,"200 Bunker Hill Drive, , ,, , ",,Aitkin,MN,56431,,Judy,Turner,Finance Manager,2189278273,NULL,2189275516,jturner@riverwoodhealthcare.org,"200 Bunker Hill Drive, , , , , ",,Aitkin,MN,56431,1697
100,1346258100,Mayo Clinic Health System - Albert Lea and Austin,ALBERT LEA,404 W. Fountain Street   ,,,FREEBORN,MN,56007,2437,5073732384,5073776464,Stephen,Waldhoff,Chief Administrative Officer,waldhoff.stephen@mayo.edu,Jim Tarasovitch,Mark,Homard,Reimbursement Process Manager,5072664742,NULL,5072840986,homard.mark@mayo.edu,"200 First Street SW,, ",,Rochester,MN,55905,,Olmsted,www.almedcenter.org,Mayo Clinic,Owned,0,"Michael Ulrich, M.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,Mark,Homard,Reimbursement Process Manager,5072664742,NULL,5072840986,homard.mark@mayo.edu,"200 First Street SW,, ",,Rochester,MN,55905,
34,1164424305,Douglas County Hospital,ALEXANDRIA,111 E. 17th Avenue  ,,,DOUGLAS,MN,56308,3703,3207621511,3207626101,Carl P.,Vaagenes,Administrator,cvaagenes@dchospital.com,Nate R. Meyer,Nate R,Meyer,CFO,3207626052,NULL,3207626120,nmeyer@dchospital.com,,,,MN,,,,www.dchospital.com,No Affiliation,,0,David J. Odland M.D.,Joni,Marusak,Controller,3207626109,NULL,3207626164,jmarusak@dchospital.com,,,,  ,,,Jon,Kuhnau,Corporate Accountant,3207626396,NULL,NULL,jlkuhnau@dchospital.com,,,,  ,,,Nate R,Meyer,CFO,3207626052,NULL,3207626120,nmeyer@dchospital.com,,,,MN,,
248,1386676799,Community Behavioral Health Hospital-Alexandria,ALEXANDRIA,1610 8th Ave. E.  ,,,DOUGLAS,MN,56308,2472,3203356201,3207591002,Nancy,Johnston,Executive Director,nancy.a.johnston@state.mn.us,Shirley Jacobson,Lori,Zook,CFO,5079347689,NULL,5079347651,lzook@rehc.org,1900 N Sunrise Dr,,St. Peter,MN,56082,1327,,shirley.jacobson@state.mn.us,"Dept of Human Services, State of MN",Owned,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1225130487,Community Behavioral Health Hospital - Annandale,ANNANDALE,400 Annandale Blvd  ,,,WRIGHT,MN,55302,3141,6512593850,3202747018,Nancy,Johnston,Executive Director,nancy.a.johnston@state.mn.us,Shirley Jacobson,Lori,Zook,CFO,5079347689,NULL,5079347651,lzook@rehc.org,1900 N Sunrise Dr,,St. Peter,MN,56082,1327,,shirley.jacobson@state.mn.us,"Dept of Human Services, State of MN",Owned,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1275585564,Anoka Metro Regional Treatment Center,ANOKA,3301 7th Avenue North  ,,,ANOKA,MN,55303,,7637124000,7637124013,Nancy,Johnston,Executive Director,nancy.a.johnston@state.mn.us,Shirley Jacobson,Lori,Zook,CFO,5079347689,NULL,5079347651,lzook@rehc.org,1900 N Sunrise Dr,,St. Peter,MN,56082,1327,,shirley.jacobson@state.mn.us,"Dept of Human Services, State of MN",Owned,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1578590626,Appleton Municipal Hospital and Nursing Home,APPLETON,30 South Behl Street      ,,,SWIFT,MN,56208,1616,3202892422,3202891797,Jeff,Cook,Administrator,jcook@appletonareahealth.org,Anne Kells,Anne,Kells,CFO,3202898514,NULL,3202891585,akells@appletonareahealth.org,"30 S Behl St., , , , ",,Appleton,MN,56208,----,Swift,www.appletonareahealth.com,No Affiliation,,1,Dr. R. Kabatay,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne,Kells,CFO,3202898514,NULL,3202891585,akells@appletonareahealth.org,"30 S Behl St., , , , ",,Appleton,MN,56208,----
7,1740240225,Ridgeview Sibley Medical Center,ARLINGTON,601 West Chandler Street     ,,,SIBLEY,MN,55307,2127,5079642271,5079648490,Todd,Sandberg,VP Administrator,todd.sandberg@ridgeviewmedical.org,Gordon Gablenz,Darla,Anderson,Director of Finance,5079648424,NULL,NULL,darla.anderson@ridgeviewmedical.org,"601 W CHANDLER ST, , , ,, , ",,Arlington,MN,55307,----,Sibley,www.sibleymedical.org,No Affiliation,,1,Dr. Matthew Herold,,,,,,,,,,,,,,,,,,,,,,,,,,,Darla,Anderson,Director of Finance,5079648424,NULL,NULL,darla.anderson@ridgeviewmedical.org,"601 W CHANDLER ST, , , ,, , ",,Arlington,MN,55307,----
175,1639278609,Essentia Health Northern Pines,AURORA,5211 Highway 110  ,,,ST. LOUIS,MN,55705,1522,2182292211,2182292042,Laura,Ackman,Administrator/COO,laura.ackman@essentiahealth.org,Kevin Boren,Michael,Vuchetich,Accounting Analyst I,2187861242,NULL,2187868406,Michael.Vuchetich@essentiahealth.org,"532 E. First Street, ",,Duluth,MN,55805,1984,ST. LOUIS,essentiahealth.org,Essentia Health,Owned,1,Dr. Christopher Whiting,Rachel,Plesha,Manager of Financial Reporting,2187861432,NULL,2187868406,Rachel.Plesha@EssentiaHealth.org ,"532 E. First Street, ",,Duluth,MN,55805,,,,,,,,,,,,,,,Laura,Carlson,Accounting Analyst II,2187861703,NULL,2187868406,Laura.Carlson@EssentiaHealth.org ,"532 E. First Street, ",,Duluth,MN,55805,
19,1295859411,Sanford Bagley Medical Center,BAGLEY,203 Fourth Street NW      ,,,CLEARWATER,MN,56621,8305,2186946501,2186943528,Dan,Olson,CEO,Dan.Olson@Sanfordhealth.org,Craig Boyer,Jill,Sigelman,Reimbursement Director,6123764528,NULL,6123764850,jill.sigelman@claconnect.com,"220 S. 6th Street, Suite 300, ",,Minneapolis,MN,55402,,Hennepin,0,Sanford Health,Owned,1,"Andre Spence, MD",Helean,Robertson,Director of Finance,2183335823,NULL,2187515880,helean.robertson@sanfordhealth.org,1300 Anne Street NW,,Bemidji,MN,56601,,Jane,Miller,Accounting Analyst,2183335569,NULL,2187515880,jane.miller@sanfordhealth.org,1300 Anne Street NW,,Bemidji,MN,56601,,Helean,Robertson,Director of Finance,2183335823,NULL,2187515880,helean.robertson@sanfordhealth.org,1300 Anne Street NW,,Bemidji,MN,56601,
159,1922072776,LakeWood Health Center,BAUDETTE,600 Main Ave. South     ,,,LAKE OF THE WOODS,MN,56623,2855,2186342120,2186341094,Ben,Koppelman,Administrator,ben.koppelman@catholichealth.net,Jay Ross,Daniel,Larsen,Principal,5074347055,NULL,5074378997,dan.larsen@claconnect.com,"109 North Main Street, ",,Austin,MN,55912,,Mower,0,Catholic Health Initiatives,Owned,1,Dr. Justin Quo,Jay,Ross,CFO,2186343440,NULL,2186341094,jayross@catholichealth.net,600 Main Ave. South,,Baudette,MN,56623,,,,,,,,,,,,,,,Jay,Ross,CFO,2186343440,NULL,2186341094,jayross@catholichealth.net,600 Main Ave. South,,Baudette,MN,56623,
254,1487715033,Community Behavioral Health Hospital - Baxter,BAXTER,14241 Grand Oaks Drive  ,,,CROW WING,MN,56425,,2183163104,2188299141,Nancy,Johnston,Executive Director,nancy.a.johnston@state.mn.us,Shirley Jacobson,Lori,Zook,CFO,5079347689,NULL,5079347651,lzook@rehc.org,1900 N Sunrise Dr,,St. Peter,MN,56082,1327,,shirley.jacobson@state.mn.us,"Dept of Human Services, State of MN",Owned,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1801870191,Sanford Bemidji Medical Center,BEMIDJI,1300 Anne Street NW    ,,,BELTRAMI,MN,56601,,2187515430,2187515880,Dan,Olson,President,Dan.Olson@Sanfordhealth.org,Craig O. Boyer,Jill,Sigelman,Reimbursement Director,6123764528,NULL,6123764850,jill.sigelman@claconnect.com,"220 S. 6th Street, Suite 300, ",,Minneapolis,MN,55402,,Hennepin,sanfordhealth.org,Sanford Health,Owned,0,"Joseph Corser, MD",Helean,Robertson,Director of Finance,2183335823,NULL,2187515880,helean.robertson@sanfordhealth.org,1300 Anne Street NW,,Bemidji,MN,56601,,Jane,Miller,Accounting Analyst,2183335569,NULL,2187515880,jane.miller@sanfordhealth.org,1300 Anne Street NW,,Bemidji,MN,56601,,Helean,Robertson,Director of Finance,2183335823,NULL,2187515880,helean.robertson@sanfordhealth.org,1300 Anne Street NW,,Bemidji,MN,56601,
256,1043331358,Community Behavioral Health Hospital - Bemidji,BEMIDJI,"800 Bemidji Avenue North, Suite 200  ",,,BELTRAMI,MN,56601,,2183082400,2183086800,Nancy,Johnston,Executive Director,nancy.a.johnston@state.mn.us,Shirley Jacobson,Lori,Zook,CFO,5079347689,NULL,5079347651,lzook@rehc.org,1900 N Sunrise Dr,,St. Peter,MN,56082,1327,,NULL,"Dept of Human Services, State of MN",Owned,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1174529002,Swift County-Benson Hospital,BENSON,1815 Wisconsin Avenue ,,,SWIFT,MN,56215,,3208434232,3208434172,Kurt,Waldbillig,CEO,kwaldbillig@scbh.org,Jayne Thielke,Jayne,Thielke,Finance Director Senior Services,3208431304,NULL,3208434172,jthielke@scbh.org,"1815 Wisconsin Ave., , , , , ",,Benson,MN,56215,----,,scbh.org,Rice Memorial Hospital,Managed,1,"Richard R. Horecka, MD",Dan,Enderson,CFO,3203145461,NULL,3208434172,denderson@scbh.org,,,,MN,,,,,,,,,,,,,,,,Jayne,Thielke,Finance Director Senior Services,3208431304,NULL,3208434172,jthielke@scbh.org,"1815 Wisconsin Ave., , , , , ",,Benson,MN,56215,----
104,1851335525,Bigfork Valley Hospital,BIGFORK,258 Pinetree Drive    ,,,ITASCA,MN,56628,,2187433177,2187433559,Aaron,Saude,CEO,ASaude@bigforkvalley.org,Gordon Forbort,Gordon,Forbort,Interim CFO,7634862698,NULL,2187633559,gforbort@sisunet.org,,,,  ,,,,www.bigforkvalley.org,No Affiliation,,1,"Heidi Korstad, MD",Christine,Lokken,Director of Finance,2187434267,NULL,2187633559,clokken@bigforkvalley.org,"258 PINETREE DR, PO Box 258, PO Box 258",PO Box 258,Bigfork,MN,56628,-258,,,,,,,,,,,,,,Christine,Lokken,Director of Finance,2187434267,NULL,2187633559,clokken@bigforkvalley.org,"258 PINETREE DR, PO Box 258, PO Box 258",PO Box 258,Bigfork,MN,56628,-258
